Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      231     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00      229     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::operator--()
  0.00      0.00     0.00      229     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp>::_Iter_comp_val(__gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&&)
  0.00      0.00     0.00      229     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>::_Iter_comp_iter(HCNodePtrComp)
  0.00      0.00     0.00      229     0.00     0.00  void std::__pop_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp> >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&)
  0.00      0.00     0.00      229     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp> >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>)
  0.00      0.00     0.00      229     0.00     0.00  std::remove_reference<__gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&>::type&& std::move<__gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&>(__gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&)
  0.00      0.00     0.00      148     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::size() const
  0.00      0.00     0.00      117     0.00     0.00  FancyInputStream::read_int()
  0.00      0.00     0.00      116     0.00     0.00  std::priority_queue<HCNode*, std::vector<HCNode*, std::allocator<HCNode*> >, HCNodePtrComp>::size() const
